objid,author_ML_score,protege_score,protege_rank,ra,dec,peak_flux,x,y,original_image,obj_size_pixels,evaluation_subset_author_ML_score
img105_isl3026,4,3.4549078751598628,187,57.8562,-82.2317,0.01095813895236,1687,1671,J0351.1-8212_aFix_pol_I_Farcsec_5pln_cor.FITS,165,-1
img22_isl3883,4,3.4455789006745907,188,356.7306,-28.6029,0.00108490496825,2203,603,Abell_4038_aFix_pol_I_Farcsec_5pln_cor.FITS,85,-1
img30_isl3754,3,3.435416671483116,189,253.1996,-82.646,0.00037469758258,2910,343,J1705.1-8210_aFix_pol_I_Farcsec_5pln_cor.FITS,83,3
img92_isl241,4,3.432018958041517,190,33.9794,-47.3125,0.00855836502464,255,1204,J0212.8-4707_aFix_pol_I_Farcsec_5pln_cor.FITS,173,-1
img2_isl1691,4,3.430667655540261,191,4.0847,-31.7486,0.00017345940952,1740,723,Abell_2751_aFix_pol_I_Farcsec_5pln_cor.FITS,168,4
img39_isl2421,5,3.429297887434753,192,85.708,-44.3679,0.00180264533536,2025,2123,J0543.4-4430_aFix_pol_I_Farcsec_5pln_cor.FITS,210,5
img108_isl4477,4,3.4292449263743423,193,84.5103,-41.0438,0.00321785288268,2850,1144,J0540.1-4050_aFix_pol_I_Farcsec_5pln_cor.FITS,105,4
img49_isl3515,4,3.428520797079342,194,122.912,-57.574,0.00013684382681,2155,786,J0812.5-5714_aFix_pol_I_Farcsec_5pln_cor.FITS,51,-1
img36_isl3184,5,3.423136203111077,195,92.4961,-48.8018,0.00294360621433,1990,1743,J0610.5-4848_aFix_pol_I_Farcsec_5pln_cor.FITS,102,-1
img44_isl5383,2,3.415783275765304,196,5.9849,-50.1382,0.00037720309143,3305,2043,J0027.3-5015_aFix_pol_I_Farcsec_5pln_cor.FITS,115,-1
img81_isl462,3,3.415320358130611,197,306.6913,-55.373,0.01535281011321,355,2351,J2023.4-5535_aFix_pol_I_Farcsec_5pln_cor.FITS,117,-1
img104_isl5551,2,3.4100558834143286,198,100.4144,-54.2309,0.00097241516252,3341,1682,J0645.4-5413_aFix_pol_I_Farcsec_5pln_cor.FITS,76,-1
img18_isl4555,4,3.4075149915574063,199,40.9481,-53.5575,0.00168954726943,2616,240,Abell_S295_aFix_pol_I_Farcsec_5pln_cor.FITS,86,4
img24_isl865,3,3.407478236696327,200,6.7062,-12.1016,0.00436433070911,788,2521,MACSJ_0025.4-1222B_aFix_pol_I_Farcsec_5pln_cor.FITS,172,-1
img99_isl1292,4,3.407457590239835,201,351.31,-41.2312,0.00038947964816,1673,1673,Abell_S1121_noFix_pol_I_Farcsec_5pln_cor.FITS,76,-1
img31_isl3180,3,3.4067096022944274,202,82.8869,-11.3911,0.00518969060958,2334,2166,Abell_545_aFix_pol_I_Farcsec_5pln_cor.FITS,165,-1
img106_isl3767,4,3.405682184329253,203,38.0346,-44.4755,8.549756848e-05,1885,1423,J0232.2-4420_aFix_pol_I_Farcsec_5pln_cor.FITS,104,-1
img80_isl1017,4,3.397272053494054,204,198.845,-25.465,0.0090183036423,1139,1177,RXCJ1314_aFix_pol_I_Farcsec_5pln_cor.FITS,124,4
img23_isl4616,3,3.3957168745129604,205,334.7541,-52.9827,0.00284560161482,3122,581,J2222.2-5235_aFix_pol_I_Farcsec_5pln_cor.FITS,220,-1
img76_isl97,4,3.3945785801819985,206,21.9519,-1.6852,0.00372111223032,284,867,Abell_194_aFix_pol_I_Farcsec_5pln_cor.FITS,177,4
img6_isl1061,4,3.385655132645324,207,6.9898,-19.2051,0.00138470873245,1156,2597,Abell_33_noFix_pol_I_Farcsec_5pln_cor.FITS,131,4
img95_isl3273,4,3.3822175899678406,208,86.2969,-47.9442,0.07010108525238,1885,1717,J0545.5-4756_aFix_pol_I_Farcsec_5pln_cor.FITS,128,-1
img73_isl3674,4,3.3806949504753283,209,124.9487,-57.4081,0.00493588874801,2295,818,J0820.9-5704_aFix_pol_I_Farcsec_5pln_cor.FITS,160,-1
img103_isl2528,3,3.373139593154417,210,26.3816,-53.1127,0.00281204609244,1518,1444,J0145.0-5300_aFix_pol_I_Farcsec_5pln_cor.FITS,138,-1
img72_isl823,4,3.372305899259302,211,216.6255,-54.3663,0.00038763837918,563,1253,J1423.7-5412_aFix_pol_I_Farcsec_5pln_cor.FITS,126,-1
img88_isl6383,3,3.37076089734895,212,357.4065,-26.4899,0.00667195187696,3051,556,Abell_2667_noFix_pol_I_Farcsec_5pln_cor.FITS,240,-1
img79_isl931,4,3.3704387968216847,213,16.253,-49.8006,0.00128706971181,769,144,ElGordo_aFix_pol_I_Farcsec_5pln_cor.FITS,59,4
img82_isl409,2,3.366488106104863,214,97.3983,-53.6865,0.01515556641475,360,1746,J0626.3-5341_aFix_pol_I_Farcsec_5pln_cor.FITS,158,-1
img16_isl875,3,3.366034259225108,215,78.0499,-44.7882,0.01091210044725,723,3259,J0510.2-4519_aFix_pol_I_Farcsec_5pln_cor.FITS,157,-1
img81_isl184,1,3.3649733864538245,216,306.8152,-55.5111,8.176948967e-05,158,1951,J2023.4-5535_aFix_pol_I_Farcsec_5pln_cor.FITS,77,-1
img24_isl1600,4,3.3645898736112723,217,6.51,-11.8697,0.00035517834712,1340,3190,MACSJ_0025.4-1222B_aFix_pol_I_Farcsec_5pln_cor.FITS,77,-1
img98_isl1905,3,3.359454773029173,218,145.6808,-76.1685,0.00196373288586,1849,2201,J0943.4-7619_aFix_pol_I_Farcsec_5pln_cor.FITS,88,-1
img85_isl6748,4,3.3583123841556355,219,98.8647,-54.455,0.00033163024231,3262,342,J0638.7-5358_aFix_pol_I_Farcsec_5pln_cor.FITS,54,-1
img36_isl3786,2,3.357721929089225,220,92.2624,-48.8962,0.01833598519907,2432,1469,J0610.5-4848_aFix_pol_I_Farcsec_5pln_cor.FITS,232,-1
img88_isl3580,1,3.357589208464148,221,357.9116,-26.0918,0.01381859773303,1749,1705,Abell_2667_noFix_pol_I_Farcsec_5pln_cor.FITS,125,-1
img93_isl6382,4,3.3563109412577594,222,2.8278,-66.0617,8.885766222e-05,2604,1767,J0014.3-6604_aFix_pol_I_Farcsec_5pln_cor.FITS,51,-1
img58_isl3128,4,3.3551154438316777,223,90.051,-39.9438,0.00013710681421,2674,1931,Abell_3376_aFix_pol_I_Farcsec_5pln_cor.FITS,84,-1
img68_isl3353,2,3.3545026549184,224,349.4488,-67.7517,0.0005635388169,2187,2051,J2319.2-6750_aFix_pol_I_Farcsec_5pln_cor.FITS,137,-1
img93_isl7540,3,3.3530160869431667,225,2.3003,-66.2751,0.00031154093599,3208,1143,J0014.3-6604_aFix_pol_I_Farcsec_5pln_cor.FITS,132,-1
img8_isl6961,3,3.344904425127841,226,341.5437,-44.3638,0.00011486779543,3182,2301,Abell_S1063_nofix_pol_I_Farcsec_5pln_cor.FITS,56,-1
img99_isl1344,4,3.3410679282395987,227,351.2918,-41.2084,0.00013624793085,1712,1738,Abell_S1121_noFix_pol_I_Farcsec_5pln_cor.FITS,61,-1
img37_isl507,4,3.340613658098238,228,87.2676,-25.4339,0.00032484638039,418,2356,Abell_548_aFix_pol_I_Farcsec_5pln_cor.FITS,76,-1
img12_isl3194,3,3.3398665544884136,229,354.4897,-85.5952,0.01463423448821,1836,523,J2340.1-8510_aFix_pol_I_Farcsec_5pln_cor.FITS,156,-1
img9_isl6094,3,3.3385270159808305,230,89.4457,-58.1165,0.02949503409277,2878,3079,J0600.8-5835_aFix_pol_I_Farcsec_5pln_cor.FITS,129,3
img113_isl1749,4,3.3363868885820267,231,119.8158,-52.8528,0.00154447237736,1081,2910,J0757.7-5315_aFix_pol_I_Farcsec_5pln_cor.FITS,85,-1
img28_isl517,4,3.3346722182216757,232,34.8025,-47.8281,0.000667753771,346,3142,J0216.3-4816_aFix_pol_I_Farcsec_5pln_cor.FITS,61,4
img104_isl3356,2,3.3311951422704853,233,101.2749,-54.8041,0.00025831322124,1891,42,J0645.4-5413_aFix_pol_I_Farcsec_5pln_cor.FITS,65,-1
img67_isl3526,2,3.3264561601692453,234,51.9465,-56.1499,0.04962146917932,2160,491,J0328.6-5542_aFix_pol_I_Farcsec_5pln_cor.FITS,206,-1
img88_isl1791,4,3.3242458704988387,235,358.2104,-25.5752,0.01549488412078,973,3192,Abell_2667_noFix_pol_I_Farcsec_5pln_cor.FITS,87,-1
img18_isl1529,3,3.3195079436457964,236,41.9336,-53.5944,0.00204359662186,853,128,Abell_S295_aFix_pol_I_Farcsec_5pln_cor.FITS,92,3
img8_isl3881,5,3.3178711443611064,237,342.1648,-44.7162,0.0010798314899,1844,1244,Abell_S1063_nofix_pol_I_Farcsec_5pln_cor.FITS,134,-1
img66_isl5100,4,3.3163353768989605,238,107.102,-60.9405,0.00010696298784,3017,456,J0712.0-6030_aFix_pol_I_Farcsec_5pln_cor.FITS,57,4
img43_isl3292,3,3.315118302604644,239,279.77,-77.4951,0.00024679361359,1968,750,J1840.6-7709_aFix_pol_I_Farcsec_5pln_cor.FITS,102,-1
img41_isl4912,3,3.3145488614062364,240,19.2156,-54.7786,0.03940353662758,2136,2146,J0117.8-5455_aFix_pol_I_Farcsec_5pln_cor.FITS,83,-1
img105_isl846,3,3.3123882488751875,241,60.5781,-81.6454,0.00065262787927,555,3319,J0351.1-8212_aFix_pol_I_Farcsec_5pln_cor.FITS,113,-1
img69_isl3207,4,3.311528320681874,242,48.6954,-45.3104,0.0010252867263,1570,2151,J0314.3-4525_aFix_pol_I_Farcsec_5pln_cor.FITS,86,-1
img55_isl1634,4,3.311150656405659,243,67.6965,-61.4557,0.01218128845179,1940,1695,J0431.4-6126_aFix_pol_I_Farcsec_5pln_cor.FITS,212,-1
img67_isl5252,3,3.311071718580782,244,51.4254,-55.6101,0.00181304421057,3052,2112,J0328.6-5542_aFix_pol_I_Farcsec_5pln_cor.FITS,111,-1
img27_isl4219,4,3.3025588907838594,245,15.1684,-21.4308,0.00062124556252,3266,3160,Abell_133_aFix_pol_I_Farcsec_5pln_cor.FITS,247,-1
img1_isl1913,4,3.301328889466658,246,253.2514,-59.6948,0.00329781860043,1811,1925,J1653.0-5943_aFix_pol_I_Farcsec_5pln_cor.FITS,123,-1
